Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG
Max Aarons,ENG,DF,Norwich City,21,2000,34,32,2881,32.0,0,2,2,0,0,0,8,0,0.8,0.8,1.7,2.5
Che Adams,SCO,FW,Southampton,25,1996,30,23,2039,22.7,7,3,10,7,0,0,0,0,7.1,7.1,3.0,10.1
Rayan Aït Nouri,FRA,"DF,MF",Wolves,20,2001,23,20,1828,20.3,1,2,3,1,0,0,4,0,0.6,0.6,1.6,2.2
Kristoffer Ajer,NOR,DF,Brentford,23,1998,24,23,1995,22.2,1,3,4,1,0,0,5,0,0.8,0.8,1.7,2.5
Nathan Aké,NED,DF,Manchester City,26,1995,14,10,923,10.3,2,0,2,2,0,0,0,0,0.7,0.7,0.6,1.2
Marc Albrighton,ENG,"FW,DF",Leicester City,31,1989,17,11,1132,12.6,1,2,3,1,0,0,3,0,0.5,0.5,2.0,2.5
Thiago Alcántara,ESP,MF,Liverpool,30,1991,25,17,1534,17.0,1,4,5,1,0,0,2,0,1.9,1.9,2.3,4.2
Trent Alexander-Arnold,ENG,DF,Liverpool,22,1998,32,32,2853,31.7,2,12,14,2,0,0,2,0,2.4,2.4,12.0,14.4
Alisson,BRA,GK,Liverpool,28,1992,36,36,3240,36.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2
Allan,BRA,MF,Everton,30,1991,28,25,2183,24.3,0,2,2,0,0,0,7,1,0.2,0.2,0.8,1.1
Dele Alli,ENG,MF,Tottenham,25,1996,10,8,657,7.3,1,0,1,0,1,1,1,0,1.6,0.8,0.3,1.1
Dele Alli,ENG,"MF,FW",Everton,25,1996,11,1,338,3.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.5
Miguel Almirón,PAR,"MF,FW",Newcastle Utd,27,1994,30,19,1716,19.1,1,0,1,1,0,0,2,0,1.7,1.7,0.9,2.6
Marcos Alonso,ESP,DF,Chelsea,30,1990,28,25,2167,24.1,4,4,8,4,0,0,8,0,2.8,2.8,4.5,7.3
Steven Alzate,COL,MF,Brighton,22,1998,9,5,404,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2
Daniel Amartey,GHA,DF,Leicester City,26,1994,28,23,2123,23.6,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2
Joachim Andersen,DEN,DF,Crystal Palace,25,1996,34,32,2916,32.4,0,3,3,0,0,0,4,0,0.7,0.7,1.7,2.4
Michail Antonio,JAM,FW,West Ham,31,1990,36,34,2971,33.0,10,8,18,10,0,1,8,1,10.8,10.2,6.0,16.2
Cameron Archer,ENG,"FW,MF",Aston Villa,20,2001,3,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Alphonse Areola,FRA,GK,West Ham,28,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Adam Armstrong,ENG,FW,Southampton,24,1997,23,17,1413,15.7,2,2,4,2,0,0,1,0,4.5,4.5,1.6,6.2
Stuart Armstrong,SCO,MF,Southampton,29,1992,25,15,1473,16.4,2,0,2,2,0,0,1,0,2.5,2.5,1.5,4.0
Kepa Arrizabalaga,ESP,GK,Chelsea,26,1994,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Harrison Ashby,SCO,DF,West Ham,19,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,32,1989,14,12,1037,11.5,4,1,5,4,0,2,3,0,5.9,4.2,1.0,5.2
Jordan Ayew,GHA,FW,Crystal Palace,29,1991,31,23,2019,22.4,3,3,6,3,0,0,2,0,3.1,3.1,2.8,5.9
Luke Ayling,ENG,DF,Leeds United,29,1991,26,26,2272,25.2,2,2,4,2,0,0,4,1,1.2,1.2,1.8,3.1
César Azpilicueta,ESP,DF,Chelsea,31,1989,27,24,2070,23.0,1,2,3,1,0,0,3,0,0.9,0.9,1.8,2.6
Daniel Bachmann,AUT,GK,Watford,27,1994,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Leon Bailey,JAM,"FW,MF",Aston Villa,23,1997,18,7,761,8.5,1,2,3,1,0,0,3,0,1.5,1.5,0.8,2.3
Eric Bailly,CIV,DF,Manchester Utd,27,1994,4,3,217,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Folarin Balogun,ENG,FW,Arsenal,20,2001,2,1,70,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2
Patrick Bamford,ENG,FW,Leeds United,27,1993,9,7,559,6.2,2,2,4,2,0,0,2,0,3.0,3.0,1.1,4.0
Shandon Baptiste,GRN,MF,Brentford,23,1998,22,9,910,10.1,1,0,1,1,0,0,2,1,0.7,0.7,0.5,1.3
Ross Barkley,ENG,"MF,FW",Chelsea,27,1993,6,1,179,2.0,1,0,1,1,0,0,0,0,1.0,1.0,0.5,1.5
Ashley Barnes,ENG,FW,Burnley,31,1989,23,8,808,9.0,1,0,1,0,1,1,4,0,2.1,1.4,0.9,2.2
Harvey Barnes,ENG,"FW,MF",Leicester City,23,1997,32,24,2101,23.3,6,10,16,6,0,0,2,0,5.6,5.6,4.6,10.2
Lewis Bate,ENG,MF,Leeds United,18,2002,3,1,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Mads Bech Sørensen,DEN,DF,Brentford,22,1999,11,9,835,9.3,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.4
Jan Bednarek,POL,DF,Southampton,25,1996,31,30,2629,29.2,4,0,4,4,0,0,10,0,2.2,2.2,0.4,2.6
Donny van de Beek,NED,MF,Manchester Utd,24,1997,8,0,75,0.8,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9
Donny van de Beek,NED,MF,Everton,24,1997,7,5,483,5.4,1,0,1,1,0,0,1,0,1.1,1.1,0.1,1.1
Asmir Begović,BIH,GK,Everton,34,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Saïd Benrahma,ALG,"FW,MF",West Ham,25,1995,32,26,2168,24.1,8,6,14,8,0,0,0,0,4.8,4.8,3.7,8.5
Rodrigo Bentancur,URU,MF,Tottenham,24,1997,17,16,1361,15.1,0,4,4,0,0,0,5,0,0.8,0.8,2.6,3.4
Christian Benteke,BEL,FW,Crystal Palace,30,1990,25,11,1145,12.7,4,1,5,4,0,0,3,0,4.9,4.9,1.3,6.2
Jóhann Berg Guðmundsson,ISL,MF,Burnley,30,1990,18,13,1102,12.2,0,1,1,0,0,0,2,0,1.6,1.6,0.5,2.0
Steven Bergwijn,NED,"FW,MF",Tottenham,23,1997,25,4,565,6.3,3,1,4,3,0,0,1,0,2.5,2.5,0.9,3.5
Ryan Bertrand,ENG,DF,Leicester City,31,1989,4,4,337,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Mads Bidstrup,DEN,MF,Brentford,20,2001,4,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Yves Bissouma,MLI,MF,Brighton,24,1996,26,25,2111,23.5,1,2,3,1,0,0,10,0,0.9,0.9,0.8,1.7
Willy Boly,CIV,DF,Wolves,30,1991,10,10,900,10.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2
Jarrod Bowen,ENG,FW,West Ham,24,1996,36,34,2983,33.1,12,10,22,12,0,0,6,0,11.9,11.9,6.1,18.0
Jarrad Branthwaite,ENG,DF,Everton,19,2002,6,4,388,4.3,1,0,1,1,0,0,0,1,0.5,0.5,0.0,0.5
Armando Broja,ALB,FW,Southampton,19,2001,32,21,1975,21.9,6,0,6,6,0,0,2,0,5.9,5.9,1.0,6.9
Josh Brownhill,ENG,MF,Burnley,25,1995,35,32,2955,32.8,2,3,5,2,0,0,10,0,1.4,1.4,2.6,3.9
Lewis Brunt,ENG,MF,Leicester City,20,2000,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Bryan,ESP,"FW,MF",Tottenham,20,2001,9,0,94,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2
Emi Buendía,ARG,"MF,FW",Aston Villa,24,1996,35,22,1899,21.1,4,6,10,4,0,0,1,0,3.4,3.4,5.8,9.1
Dan Burn,ENG,DF,Newcastle Utd,29,1992,16,16,1440,16.0,0,1,1,0,0,0,4,0,0.7,0.7,0.4,1.1
Dan Burn,ENG,DF,Brighton,29,1992,13,12,1022,11.4,1,0,1,1,0,0,4,0,1.6,1.5,0.5,2.0
Jack Butland,ENG,GK,Crystal Palace,28,1993,9,8,765,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Sam Byram,ENG,DF,Norwich City,27,1993,15,11,1027,11.4,0,0,0,0,0,0,3,0,0.6,0.6,0.2,0.9
Willy Caballero,ARG,GK,Southampton,39,1981,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Moisés Caicedo,ECU,MF,Brighton,19,2001,8,8,660,7.3,1,1,2,1,0,0,2,0,0.8,0.8,0.3,1.1
Dominic Calvert-Lewin,ENG,FW,Everton,24,1997,17,15,1283,14.3,5,2,7,3,2,3,2,0,6.5,4.2,1.6,5.7
Chem Campbell,WAL,MF,Wolves,18,2002,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
João Cancelo,POR,DF,Manchester City,27,1994,36,36,3227,35.9,1,7,8,1,0,0,7,0,4.0,4.0,5.4,9.3
Sergi Canós,ESP,"DF,FW",Brentford,24,1997,31,25,2083,23.1,3,2,5,3,0,0,8,1,3.0,3.0,1.7,4.6
Todd Cantwell,ENG,"FW,MF",Norwich City,23,1998,8,5,441,4.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.3
Matty Cash,POL,DF,Aston Villa,23,1997,38,38,3377,37.5,4,3,7,4,0,0,8,0,2.7,2.7,2.8,5.4
Timothy Castagne,BEL,DF,Leicester City,25,1995,27,22,2127,23.6,1,0,1,1,0,0,1,0,0.7,0.7,1.5,2.2
Jonny Castro,ESP,DF,Wolves,27,1994,13,10,1024,11.4,2,0,2,2,0,0,1,0,1.0,1.0,1.3,2.3
Craig Cathcart,NIR,DF,Watford,32,1989,31,27,2396,26.6,0,1,1,0,0,0,3,0,0.2,0.2,1.2,1.4
Edinson Cavani,URU,FW,Manchester Utd,34,1987,15,7,766,8.5,2,1,3,2,0,0,0,0,3.4,3.4,1.2,4.7
Kayky Chagas,BRA,FW,Manchester City,18,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Trevoh Chalobah,ENG,DF,Chelsea,22,1999,20,17,1449,16.1,3,1,4,3,0,0,2,0,1.1,1.1,0.3,1.4
Calum Chambers,ENG,DF,Arsenal,26,1995,2,2,170,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2
Calum Chambers,ENG,DF,Aston Villa,26,1995,11,9,831,9.2,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3
Daniel Chesters,ENG,MF,West Ham,19,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ben Chilwell,ENG,DF,Chelsea,24,1996,7,6,542,6.0,3,1,4,3,0,0,0,0,0.9,0.9,0.8,1.7
Chiquinho,POR,"DF,FW",Wolves,21,2000,8,1,208,2.3,0,3,3,0,0,0,0,0,0.6,0.6,0.7,1.3
Hamza Choudhury,ENG,"DF,MF",Leicester City,23,1997,6,4,285,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Andreas Christensen,DEN,DF,Chelsea,25,1996,19,17,1496,16.6,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8
Carney Chukwuemeka,ENG,"MF,FW",Aston Villa,17,2003,12,2,301,3.3,0,1,1,0,0,0,0,0,0.6,0.6,1.0,1.6
Ciaran Clark,IRL,DF,Newcastle Utd,31,1989,13,12,1014,11.3,0,1,1,0,0,0,2,1,1.1,1.1,0.3,1.4
Tom Cleverley,ENG,MF,Watford,31,1989,28,20,1616,18.0,0,2,2,0,0,0,2,0,0.7,0.7,2.1,2.8
Nathaniel Clyne,ENG,DF,Crystal Palace,30,1991,16,15,1351,15.0,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5
Conor Coady,ENG,DF,Wolves,28,1993,38,38,3361,37.3,4,0,4,4,0,0,4,0,2.8,2.8,0.1,2.8
Séamus Coleman,IRL,DF,Everton,32,1988,30,30,2656,29.5,1,0,1,1,0,0,4,0,1.2,1.2,0.8,2.0
Nathan Collins,IRL,DF,Burnley,20,2001,19,18,1670,18.6,2,0,2,2,0,0,2,1,1.5,1.5,1.5,3.0
Aaron Connolly,IRL,"FW,MF",Brighton,21,2000,4,1,156,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5
Liam Cooper,SCO,DF,Leeds United,29,1991,21,21,1814,20.2,0,1,1,0,0,0,5,0,0.4,0.4,0.1,0.5
Jack Cork,ENG,MF,Burnley,32,1989,20,20,1670,18.6,1,0,1,1,0,0,4,0,0.7,0.7,0.3,1.0
Maxwel Cornet,CIV,"FW,MF",Burnley,24,1996,26,21,1766,19.6,9,1,10,9,0,1,2,0,6.7,5.9,1.7,7.7
Hélder Costa,ANG,MF,Leeds United,27,1994,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Vladimír Coufal,CZE,DF,West Ham,28,1992,28,25,2209,24.5,0,4,4,0,0,0,5,1,0.8,0.8,2.1,2.9
Philippe Coutinho,BRA,"MF,FW",Aston Villa,29,1992,19,16,1329,14.8,5,3,8,5,0,0,0,0,3.8,3.8,2.9,6.7
Aaron Cresswell,ENG,DF,West Ham,31,1989,31,31,2726,30.3,2,3,5,2,0,0,3,0,1.1,1.1,3.2,4.2
Charlie Cresswell,ENG,DF,Leeds United,18,2002,5,1,141,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1
Cucho,COL,"FW,MF",Watford,22,1999,25,11,1147,12.7,5,2,7,5,0,0,3,0,2.5,2.5,1.9,4.3
Marc Cucurella,ESP,DF,Brighton,23,1998,35,35,3089,34.3,1,1,2,1,0,0,6,0,0.7,0.7,2.7,3.4
Luke Cundle,ENG,MF,Wolves,19,2002,4,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2
Patson Daka,ZAM,FW,Leicester City,22,1998,23,13,1159,12.9,5,3,8,5,0,0,2,0,4.2,4.2,2.0,6.1
Stuart Dallas,NIR,"DF,MF",Leeds United,30,1991,34,34,2919,32.4,1,1,2,1,0,0,5,0,1.9,1.9,2.3,4.1
Diogo Dalot,POR,DF,Manchester Utd,22,1999,24,19,1801,20.0,0,0,0,0,0,0,4,0,0.6,0.6,1.2,1.7
Karl Darlow,ENG,GK,Newcastle Utd,30,1990,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Josh Dasilva,ENG,"MF,FW",Brentford,22,1998,9,2,257,2.9,0,0,0,0,0,0,0,1,0.1,0.1,0.1,0.2
Ben Davies,WAL,DF,Tottenham,28,1993,29,28,2538,28.2,1,1,2,1,0,0,6,0,2.3,2.3,0.5,2.9
Tom Davies,ENG,MF,Everton,23,1998,6,2,234,2.6,1,0,1,1,0,0,1,0,0.8,0.8,0.0,0.8
Keinan Davis,ENG,FW,Aston Villa,23,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Craig Dawson,ENG,DF,West Ham,31,1990,34,30,2754,30.6,2,2,4,2,0,0,5,1,3.0,3.0,1.0,4.0
Kevin De Bruyne,BEL,MF,Manchester City,30,1991,30,25,2201,24.5,15,8,23,15,0,0,2,0,5.7,5.7,10.4,16.1
Troy Deeney,ENG,FW,Watford,33,1988,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1
Liam Delap,ENG,FW,Manchester City,18,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Fabian Delph,ENG,MF,Everton,31,1989,11,8,662,7.4,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1
Leander Dendoncker,BEL,MF,Wolves,26,1995,30,21,1950,21.7,2,2,4,2,0,0,4,0,2.2,2.2,1.1,3.3
Emmanuel Dennis,NGA,"FW,MF",Watford,23,1997,33,30,2581,28.7,10,6,16,10,0,0,9,1,7.3,7.3,4.1,11.3
Kiernan Dewsbury-Hall,ENG,MF,Leicester City,22,1998,28,23,2105,23.4,1,2,3,1,0,0,4,0,1.2,1.2,2.7,3.9
Ibrahima Diallo,FRA,MF,Southampton,22,1999,23,10,1023,11.4,0,2,2,0,0,0,1,0,0.4,0.4,1.0,1.5
Rúben Dias,POR,DF,Manchester City,24,1997,29,27,2402,26.7,2,4,6,2,0,0,5,0,2.7,2.7,3.2,5.9
Luis Díaz,COL,FW,Liverpool,24,1997,13,11,958,10.6,4,3,7,4,0,0,0,0,3.6,3.6,2.6,6.2
Eric Dier,ENG,DF,Tottenham,27,1994,35,35,3071,34.1,0,0,0,0,0,0,1,0,1.2,1.2,1.1,2.3
Lucas Digne,FRA,DF,Aston Villa,28,1993,16,16,1269,14.1,0,4,4,0,0,0,2,0,0.5,0.5,2.2,2.7
Lucas Digne,FRA,DF,Everton,28,1993,13,13,1170,13.0,0,0,0,0,0,0,4,0,0.3,0.3,1.4,1.8
Issa Diop,FRA,DF,West Ham,24,1997,13,10,963,10.7,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5
Moussa Djenepo,MLI,MF,Southampton,23,1998,12,5,457,5.1,0,0,0,0,0,0,3,0,1.5,1.5,0.3,1.8
Lewis Dobbin,ENG,"FW,MF",Everton,18,2003,3,0,32,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Matt Doherty,IRL,DF,Tottenham,29,1992,15,9,875,9.7,2,4,6,2,0,0,0,0,2.5,2.5,2.0,4.5
Gabriel Dos Santos,BRA,DF,Arsenal,23,1997,35,35,3063,34.0,5,0,5,5,0,0,8,1,3.2,3.2,0.7,3.9
Abdoulaye Doucouré,MLI,MF,Everton,28,1993,30,29,2537,28.2,2,4,6,2,0,0,6,0,2.2,2.2,2.0,4.2
Kieran Dowell,ENG,"FW,MF",Norwich City,23,1997,19,11,912,10.1,1,1,2,1,0,0,0,0,1.1,1.1,1.5,2.6
Cody Drameh,ENG,"DF,MF",Leeds United,19,2001,3,1,128,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Martin Dúbravka,SVK,GK,Newcastle Utd,32,1989,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Shane Duffy,IRL,DF,Brighton,29,1992,18,15,1436,16.0,1,0,1,1,0,0,7,0,1.0,1.0,0.2,1.2
Paul Dummett,WAL,DF,Newcastle Utd,29,1991,3,2,198,2.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0
Lewis Dunk,ENG,DF,Brighton,29,1991,29,29,2573,28.6,1,0,1,1,0,0,3,1,1.3,1.3,0.4,1.8
Ederson,BRA,GK,Manchester City,27,1993,37,37,3330,37.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0
Odsonne Édouard,FRA,FW,Crystal Palace,23,1998,28,18,1564,17.4,6,3,9,5,1,1,4,0,6.4,5.6,1.9,7.5
CJ Egan-Riley,ENG,DF,Manchester City,18,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Anthony Elanga,SWE,FW,Manchester Utd,19,2002,21,14,1214,13.5,2,2,4,2,0,0,0,0,2.6,2.6,2.4,5.1
Harvey Elliott,ENG,MF,Liverpool,18,2003,6,4,346,3.8,0,0,0,0,0,0,0,0,0.8,0.8,0.6,1.4
Mohamed Elneny,EGY,MF,Arsenal,29,1992,14,8,806,9.0,0,2,2,0,0,0,1,0,0.2,0.2,0.4,0.6
Mohamed Elyounoussi,NOR,"MF,FW",Southampton,26,1994,30,23,2042,22.7,4,2,6,4,0,0,4,0,5.5,5.5,2.3,7.8
Emerson,BRA,"DF,MF",Tottenham,22,1999,31,26,2286,25.4,1,1,2,1,0,0,5,0,1.5,1.5,2.2,3.6
Christian Eriksen,DEN,MF,Brentford,29,1992,11,10,939,10.4,1,4,5,1,0,0,1,0,1.3,1.3,3.5,4.8
Oghenekaro Etebo,NGA,MF,Watford,25,1995,9,4,401,4.5,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2
Jonny Evans,NIR,DF,Leicester City,33,1988,18,16,1348,15.0,1,1,2,1,0,0,3,0,0.6,0.6,0.8,1.4
Eberechi Eze,ENG,"MF,FW",Crystal Palace,23,1998,13,6,605,6.7,1,1,2,1,0,0,1,0,0.4,0.4,0.9,1.3
Łukasz Fabiański,POL,GK,West Ham,36,1985,37,37,3330,37.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0
Fabinho,BRA,MF,Liverpool,27,1993,29,26,2314,25.7,5,1,6,3,2,2,7,0,3.9,2.4,1.3,3.7
Kiko Femenía,ESP,DF,Watford,30,1991,27,26,2142,23.8,0,5,5,0,0,0,2,0,0.1,0.1,3.6,3.8
Evan Ferguson,IRL,MF,Brighton,16,2004,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Nathan Ferguson,ENG,DF,Crystal Palace,20,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Bruno Fernandes,POR,MF,Manchester Utd,26,1994,36,35,3111,34.6,10,6,16,10,0,2,10,0,9.7,8.1,9.0,17.1
Álvaro Fernández,ESP,GK,Brentford,23,1998,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Federico Fernández,ARG,DF,Newcastle Utd,32,1989,7,5,523,5.8,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7
Fernandinho,BRA,"MF,DF",Manchester City,36,1985,19,10,964,10.7,2,1,3,2,0,0,1,0,1.6,1.6,1.0,2.5
Roberto Firmino,BRA,FW,Liverpool,29,1991,20,10,990,11.0,5,4,9,5,0,0,3,0,4.7,4.7,1.7,6.4
Junior Firpo,ESP,"DF,MF",Leeds United,24,1996,24,19,1711,19.0,0,2,2,0,0,0,11,0,0.9,0.9,1.9,2.8
Ashley Fletcher,ENG,FW,Watford,25,1995,3,0,30,0.3,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6
Phil Foden,ENG,FW,Manchester City,21,2000,28,24,2128,23.6,9,5,14,9,0,0,1,0,9.4,9.4,6.3,15.7
Wesley Fofana,FRA,DF,Leicester City,20,2000,7,7,630,7.0,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4
Pablo Fornals,ESP,"FW,MF",West Ham,25,1996,36,32,2795,31.1,6,3,9,6,0,0,4,0,4.6,4.6,6.3,10.9
Adam Forshaw,ENG,MF,Leeds United,29,1991,22,17,1530,17.0,0,1,1,0,0,0,5,0,0.5,0.5,1.0,1.5
Marcus Forss,FIN,"FW,MF",Brentford,22,1999,7,1,209,2.3,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.6
Fraser Forster,ENG,GK,Southampton,33,1988,19,19,1710,19.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Ben Foster,ENG,GK,Watford,38,1983,26,26,2340,26.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1
Tariqe Fosu,GHA,DF,Brentford,25,1995,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ryan Fraser,SCO,"FW,MF",Newcastle Utd,27,1994,27,18,1465,16.3,2,3,5,2,0,0,3,0,2.7,2.7,2.1,4.7
Fred,BRA,MF,Manchester Utd,28,1993,28,24,2028,22.5,4,4,8,4,0,0,5,0,1.3,1.3,2.2,3.5
Ryan Fredericks,ENG,DF,West Ham,28,1992,7,3,307,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1
Leo Fuhr Hjelde,NOR,"MF,DF",Leeds United,17,2003,2,0,150,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Conor Gallagher,ENG,MF,Crystal Palace,21,2000,34,33,2845,31.6,8,3,11,8,0,0,10,0,6.3,6.3,3.1,9.4
Alejandro Garnacho,ESP,"FW,MF",Manchester Utd,17,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Dwight Gayle,ENG,"FW,DF",Newcastle Utd,30,1990,8,0,38,0.4,0,0,0,0,0,0,1,0,0.6,0.6,0.3,0.9
Jean-Philippe Gbamin,CIV,MF,Everton,25,1995,3,1,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
David de Gea,ESP,GK,Manchester Utd,30,1990,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Joe Gelhardt,ENG,"FW,MF",Leeds United,19,2002,20,5,746,8.3,2,2,4,2,0,0,4,0,3.0,3.0,1.6,4.6
Anwar El Ghazi,NED,"FW,MF",Aston Villa,26,1995,9,4,386,4.3,1,1,2,0,1,1,2,0,1.1,0.3,0.4,0.7
Anwar El Ghazi,NED,"FW,MF",Everton,26,1995,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
